"ensembl_id_original","ensembl_id_clean","gene_symbol","gene_biotype","description","has_symbol","is_protein_coding"
"ENSG00000271697","ENSG00000271697","","processed_pseudogene","gephyrin (GPHN) pseudogene",FALSE,FALSE
"ENSG00000239820","ENSG00000239820","RN7SL213P","misc_RNA","RNA, 7SL, cytoplasmic 213, pseudogene [Source:HGNC Symbol;Acc:HGNC:46229]",TRUE,FALSE
"ENSG00000258759","ENSG00000258759","","processed_pseudogene","DnaJ (Hsp40) homolog, subfamily C, member 9 (DNAJC9) pseudogene",FALSE,FALSE
"ENSG00000274666","ENSG00000274666","","unprocessed_pseudogene","zinc finger protein 585B (ZNF585B) pseudogene",FALSE,FALSE
"ENSG00000226677","ENSG00000226677","IGBP1P1","processed_pseudogene","IGBP1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:19709]",TRUE,FALSE
"ENSG00000279434","ENSG00000279434","","TEC","TEC",FALSE,FALSE
"ENSG00000283098","ENSG00000283098","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000238540","ENSG00000238540","RNU7-93P","snRNA","RNA, U7 small nuclear 93 pseudogene [Source:HGNC Symbol;Acc:HGNC:45627]",TRUE,FALSE
"ENSG00000257520","ENSG00000257520","","protein_coding","surfactant associated 3 [Source:NCBI gene (formerly Entrezgene);Acc:253970]",FALSE,TRUE
"ENSG00000229415","ENSG00000229415","SFTA3","lncRNA","surfactant associated 3 [Source:HGNC Symbol;Acc:HGNC:18387]",TRUE,FALSE
"ENSG00000253563","ENSG00000253563","NKX2-1-AS1","lncRNA","NKX2-1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40585]",TRUE,FALSE
"ENSG00000258467","ENSG00000258467","PHKBP2","unprocessed_pseudogene","phosphorylase kinase regulatory subunit beta pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:8929]",TRUE,FALSE
"ENSG00000243730","ENSG00000243730","RPL29P3","processed_pseudogene","ribosomal protein L29 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:23565]",TRUE,FALSE
